Site,Year,SiteYear,Position,Winglength,Mag,Winglength_2,Sex,AdultMass,Notes
Vulgaris,2012,Vulgaris2012,,,,,F,2.238,
Vulgaris,2012,Vulgaris2012,,,,,F,2.075,
Vulgaris,2012,Vulgaris2012,,,,,F,1.204,
Vulgaris,2012,Vulgaris2012,,,,,F,1.043,
Vulgaris,2012,Vulgaris2012,,,,,F,0.83,
Vulgaris,2012,Vulgaris2012,,,,,F,1.906,
Vulgaris,2012,Vulgaris2012,,,,,F,1.89,
Vulgaris,2012,Vulgaris2012,,,,,F,1.846,
Vulgaris,2012,Vulgaris2012,,,,,F,0.511,
Vulgaris,2012,Vulgaris2012,,,,,F,0.893,
Oil,2017,Oil2017,1A,9.9,2x,4.95,F,1.2,
Oil,2017,Oil2017,2A,9.4,2x,4.7,F,1.06,
Oil,2017,Oil2017,3A,9.5,2x,4.75,M,0.89,
Oil,2017,Oil2017,1B,10.3,2x,5.15,F,1.31,
Oil,2017,Oil2017,2B,10.6,2x,5.3,F,3.43,
Oil,2017,Oil2017,3B,8,2x,4,F,0.64,
Oil,2017,Oil2017,4B,10.5,2x,5.25,F,1.39,
Oil,2017,Oil2017,1C,10.7,2x,5.35,M,1.09,
Oil,2017,Oil2017,2C,10.3,2x,5.15,M,1.08,
Oil,2017,Oil2017,3C,10.4,2x,5.2,M,1.11,
Oil,2017,Oil2017,4C,10.5,2x,5.25,M,1.23,
Oil,2017,Oil2017,1D,10.4,2x,5.2,M,1.07,
Oil,2017,Oil2017,2D,10.5,2x,5.25,F,1.27,
Oil,2017,Oil2017,3D,10.8,2x,5.4,M,1.08,
Oil,2017,Oil2017,4D,8.9,2x,4.45,F,0.72,
Oil,2017,Oil2017,1E,10.9,2x,5.45,F,1.36,
Oil,2017,Oil2017,2E,10.3,2x,5.15,F,1.39,
Oil,2017,Oil2017,3E,10.1,2x,5.05,M,1.09,
Oil,2017,Oil2017,4E,9.8,2x,4.9,M,1,
Oil,2017,Oil2017,1F,10.7,2x,5.35,M,1.07,
Oil,2017,Oil2017,2F,10.1,2x,5.05,M,0.86,
Oil,2017,Oil2017,3F,10.4,2x,5.2,M,1.03,
Oil,2017,Oil2017,4F,10.3,2x,5.15,F,1.4,
Vulgaris,2017,Vulgaris2017,1A,10.2,2x,5.1,M,0.82,
Vulgaris,2017,Vulgaris2017,2A,9.2,2x,4.6,M,0.38,
Vulgaris,2017,Vulgaris2017,3A,9.6,2x,4.8,F,0.76,
Vulgaris,2017,Vulgaris2017,4A,8.9,2x,4.45,M,0.82,
Vulgaris,2017,Vulgaris2017,1B,8.4,2x,4.2,F,0.76,
Vulgaris,2017,Vulgaris2017,2B,10.3,2x,5.15,F,1.24,
Vulgaris,2017,Vulgaris2017,3B,9.7,2x,4.85,F,0.96,
Vulgaris,2017,Vulgaris2017,4B,10.4,2x,5.2,M,1.15,
Vulgaris,2017,Vulgaris2017,1C,10.2,2x,5.1,M,0.74,
Vulgaris,2017,Vulgaris2017,2C,10.3,2x,5.15,M,0.93,
Vulgaris,2017,Vulgaris2017,3C,8.9,2x,4.45,M,0.59,
Vulgaris,2017,Vulgaris2017,4C,8.6,2x,4.3,F,0.64,
Vulgaris,2017,Vulgaris2017,1D,10.2,2x,5.1,M,0.89,
Vulgaris,2017,Vulgaris2017,2D,10.6,2x,5.3,M,0.71,
Vulgaris,2017,Vulgaris2017,3D,8.6,2x,4.3,M,0.57,
Vulgaris,2017,Vulgaris2017,4D,10.2,2x,5.1,M,0.85,
Vulgaris,2017,Vulgaris2017,1E,8.5,2x,4.25,F,0.63,
Vulgaris,2017,Vulgaris2017,2E,10.3,2x,5.15,F,1.06,
Vulgaris,2017,Vulgaris2017,3E,9.4,2x,4.7,F,0.9,
Vulgaris,2017,Vulgaris2017,4E,9.3,2x,4.65,F,0.66,
Vulgaris,2017,Vulgaris2017,1F,8.9,2x,4.45,F,0.64,
Vulgaris,2017,Vulgaris2017,2F,10,2x,5,F,2.98,
Vulgaris,2017,Vulgaris2017,3F,7.9,2x,3.95,M,0.69,
Vulgaris,2017,Vulgaris2017,4F,9.2,2x,4.6,F,0.76,
Vulgaris small,2017,Vulgaris small2017,1A,10.2,2x,5.1,F,1.13,
Vulgaris small,2017,Vulgaris small2017,2A,9.6,2x,4.8,M,0.91,
Vulgaris small,2017,Vulgaris small2017,3A,10.2,2x,5.1,F,1.14,
Vulgaris small,2017,Vulgaris small2017,4A,10.3,2x,5.15,F,1.42,
Vulgaris small,2017,Vulgaris small2017,1B,10,2x,5,F,1.16,
Vulgaris small,2017,Vulgaris small2017,2B,10.1,2x,5.05,F,1.18,
Vulgaris small,2017,Vulgaris small2017,3B,10.8,2x,5.4,F,1.46,
Vulgaris small,2017,Vulgaris small2017,4B,9.7,2x,4.85,M,0.84,
Vulgaris small,2017,Vulgaris small2017,1C,8.8,2x,4.4,M,0.66,
Vulgaris small,2017,Vulgaris small2017,2C,10.3,2x,5.15,F,1.32,
Vulgaris small,2017,Vulgaris small2017,3C,10.9,2x,5.45,F,1.41,
Vulgaris small,2017,Vulgaris small2017,4C,10.8,2x,5.4,M,2.64,
Vulgaris small,2017,Vulgaris small2017,1D,9.9,2x,4.95,F,1.08,
Vulgaris small,2017,Vulgaris small2017,2D,10.4,2x,5.2,M,1,
Vulgaris small,2017,Vulgaris small2017,3D,10,2x,5,M,1.14,
Vulgaris small,2017,Vulgaris small2017,4D,10.1,2x,5.05,F,1.23,
Vulgaris small,2017,Vulgaris small2017,1E,10,2x,5,F,1.23,
Vulgaris small,2017,Vulgaris small2017,2E,10.2,2x,5.1,F,1.08,
Vulgaris small,2017,Vulgaris small2017,3E,10.2,2x,5.1,F,1.15,
Vulgaris small,2017,Vulgaris small2017,4E,10.2,2x,5.1,F,1.19,
Vulgaris small,2017,Vulgaris small2017,1F,10.3,2x,5.15,M,0.88,
Vulgaris small,2017,Vulgaris small2017,2F,9.6,2x,4.8,M,0.95,
Vulgaris small,2017,Vulgaris small2017,3F,10.2,2x,5.1,M,0.84,
Vulgaris small,2017,Vulgaris small2017,4F,10.3,2x,5.15,,0.92,
NoOil,2017,NoOil2017,1A,8.9,2x,4.45,F,0.65,
NoOil,2017,NoOil2017,2A,8.7,2x,4.35,F,0.76,
NoOil,2017,NoOil2017,3A,8.5,2x,4.25,M,0.42,
NoOil,2017,NoOil2017,4A,8.2,2x,4.1,F,0.48,
NoOil,2017,NoOil2017,1B,8.5,2x,4.25,F,0.44,
NoOil,2017,NoOil2017,2B,9.1,2x,4.55,F,0.74,
NoOil,2017,NoOil2017,3B,8.7,2x,4.35,M,0.31,
NoOil,2017,NoOil2017,4B,8,2x,4,F,0.36,
