ID,Site,Weatherperiod,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Totaldays,Totalhours,Count,Count3.5,LogCount3.5,LnCount3.5,Habitatcategory,Habitatpair,BMhabitat,BMhabitat2,ID2,Site2,Count2,Count2,Count3.52,LogCount3.52,LnCount3.52,Habitatamount2,Habitatcategory2,BMhabitat22,BMhabitat222
90,VV1,37,6/24/2017,18:50,6/24/2017 18:50,6/24/2017,22:22,6/24/2017 22:22,0.147222222,3.53,518,513,2.710117365,6.240275845,High,5,HighHigh,HighHigh,91,VV2,0.139583333,175,183,2.264817823,5.214935758,6971,Low,MedLow,HighLow
104,VV1,41,6/28/2017,17:38,6/28/2017 17:38,6/28/2017,20:50,6/28/2017 20:50,0.133333333,3.2,37,40,1.602059991,3.688879454,High,5,HighHigh,HighHigh,103,VV2,0.133333333,28,31,1.505149978,3.465735903,6971,Low,MedLow,HighLow
124,VV1,42,6/29/2017,19:07,6/29/2017 19:07,6/29/2017,22:20,6/29/2017 22:20,0.134027778,3.22,7,8,0.903089987,2.079441542,High,5,HighHigh,HighHigh,123,VV2,0.134027778,0,0,0,0,6971,Low,MedLow,HighLow
129,VV1,44,7/2/2017,17:38,7/2/2017 17:38,7/2/2017,21:06,7/2/2017 21:06,0.144444444,3.47,0,0,0,0,High,5,HighHigh,HighHigh,128,VV2,0.145833333,0,0,0,0,6971,Low,MedLow,HighLow
149,VV1,45,7/3/2017,19:10,7/3/2017 19:10,7/3/2017,22:33,7/3/2017 22:33,0.140972222,3.38,0,0,0,0,High,5,HighHigh,HighHigh,148,VV2,0.140972222,0,0,0,0,6971,Low,MedLow,HighLow
153,VV1,46,7/5/2017,17:52,7/5/2017 17:52,7/5/2017,21:01,7/5/2017 21:01,0.13125,3.15,0,0,0,0,High,5,HighHigh,HighHigh,152,VV2,0.130555556,0,0,0,0,6971,Low,MedLow,HighLow
173,VV1,47,7/6/2017,19:06,7/6/2017 19:06,7/6/2017,22:26,7/6/2017 22:26,0.138888889,3.33,49,51,1.707570176,3.931825633,High,5,HighHigh,HighHigh,172,VV2,0.138888889,95,100,2.004321374,4.615120517,6971,Low,MedLow,HighLow
177,VV1,48,7/7/2017,17:54,7/7/2017 17:54,7/7/2017,21:16,7/7/2017 21:16,0.140277778,3.37,114,119,2.075546961,4.779123493,High,5,HighHigh,HighHigh,176,VV2,0.140277778,40,42,1.633468456,3.761200116,6971,Low,MedLow,HighLow
206,VV1,50,7/10/2017,18:59,7/10/2017 18:59,7/10/2017,22:08,7/10/2017 22:08,0.13125,3.15,1,1,0,0,High,5,HighHigh,HighHigh,205,VV2,0.13125,0,0,0,0,6971,Low,MedLow,HighLow
222,VV1,52,7/14/2017,17:46,7/14/2017 17:46,7/14/2017,21:26,7/14/2017 21:26,0.152777778,3.67,129,123,2.089905111,4.812184355,High,5,HighHigh,HighHigh,221,VV2,0.152083333,157,151,2.181843588,5.023880521,6971,Low,MedLow,HighLow
