ID,Site,ClosestWS,Weatherperiod,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Totaldays,Totalhours,Count,Count3.5,LnCount3.5
98,Golf,Waterfall,39,6/26/2017,18:12,6/26/2017 18:12,6/26/2017,21:28,6/26/2017 21:28,0.136111111,3.27,63,67.43119266,4.225828754
99,Kforest,Waterfall,39,6/26/2017,18:15,6/26/2017 18:15,6/26/2017,21:32,6/26/2017 21:32,0.136805556,3.28,70,74.69512195,4.326713719
100,KISS,Airport,39,6/26/2017,18:00,6/26/2017 18:00,6/26/2017,21:00,6/26/2017 21:00,0.125,3,14,16.33333333,2.85263143
101,KISS,Airport,40,6/27/2017,11:30,6/27/2017 11:30,6/27/2017,18:00,6/27/2017 18:00,0.270833333,6.5,0,0,0
102,Moz valley,Vulgaris,41,6/28/2017,17:23,6/28/2017 17:23,6/28/2017,20:38,6/28/2017 20:38,0.135416667,3.25,55,59.23076923,4.098183339
103,VV2,Vulgaris,41,6/28/2017,17:33,6/28/2017 17:33,6/28/2017,20:45,6/28/2017 20:45,0.133333333,3.2,28,30.625,3.453947947
104,VV1,Vulgaris,41,6/28/2017,17:38,6/28/2017 17:38,6/28/2017,20:50,6/28/2017 20:50,0.133333333,3.2,37,40.46875,3.724940132
105,Bunny Hill,Vulgaris,41,6/28/2017,17:42,6/28/2017 17:42,6/28/2017,20:56,6/28/2017 20:56,0.134722222,3.23,149,161.4551084,5.090401707
106,Camp,Waterfall,41,6/28/2017,17:58,6/28/2017 17:58,6/28/2017,21:09,6/28/2017 21:09,0.132638889,3.18,555,610.8490566,6.416485613
107,Seatomato,Waterfall,41,6/28/2017,18:07,6/28/2017 18:07,6/28/2017,21:19,6/28/2017 21:19,0.133333333,3.2,428,468.125,6.150869257
108,Waterfall,Waterfall,41,6/28/2017,18:21,6/28/2017 18:21,6/28/2017,21:30,6/28/2017 21:30,0.13125,3.15,418,464.4444444,6.142992744
109,Waterfall up,Waterfall,41,6/28/2017,18:32,6/28/2017 18:32,6/28/2017,21:42,6/28/2017 21:42,0.131944444,3.17,220,242.9022082,5.496767359
110,Kforest,Waterfall,41,6/28/2017,18:43,6/28/2017 18:43,6/28/2017,21:53,6/28/2017 21:53,0.131944444,3.17,264,291.4826498,5.678405348
111,Golf,Waterfall,41,6/28/2017,18:47,6/28/2017 18:47,6/28/2017,22:00,6/28/2017 22:00,0.134027778,3.22,83,90.2173913,4.513245573
112,Oil,Airport,41,6/28/2017,18:57,6/28/2017 18:57,6/28/2017,22:07,6/28/2017 22:07,0.131944444,3.17,771,851.2618297,6.747893791
113,KISS,Airport,41,6/28/2017,19:03,6/28/2017 19:03,6/28/2017,22:13,6/28/2017 22:13,0.131944444,3.17,47,51.89274448,3.968266174
114,KISS,Airport,42,6/29/2017,17:39,6/29/2017 17:39,6/29/2017,20:47,6/29/2017 20:47,0.130555556,3.13,59,65.97444089,4.204311067
