Date,Day,Site,Year,SiteYear,Sample,Mass,Stage
14-May-12,14-May-17,Black,2012,Black2012,5,0.916,Larvae
14-May-12,14-May-17,Black,2012,Black2012,6,0.51,Larvae
14-May-12,14-May-17,Black,2012,Black2012,7,0.803,Larvae
14-May-12,14-May-17,Black,2012,Black2012,8,0.535,Larvae
14-May-12,14-May-17,Black,2012,Black2012,9,0.133,Larvae
14-May-12,14-May-17,Black,2012,Black2012,10,0.567,Larvae
14-May-12,14-May-17,Black,2012,Black2012,11,0.871,Larvae
14-May-12,14-May-17,Black,2012,Black2012,12,0.584,Larvae
14-May-12,14-May-17,Black,2012,Black2012,13,0.555,Larvae
14-May-12,14-May-17,Black,2012,Black2012,14,0.743,Larvae
14-May-12,14-May-17,Black,2012,Black2012,15,0.528,Larvae
14-May-12,14-May-17,Black,2012,Black2012,16,0.53,Larvae
14-May-12,14-May-17,Black,2012,Black2012,17,0.164,Larvae
14-May-12,14-May-17,Black,2012,Black2012,18,0.876,Larvae
14-May-12,14-May-17,Black,2012,Black2012,19,0.521,Larvae
14-May-12,14-May-17,Black,2012,Black2012,20,0.62,Larvae
14-May-12,14-May-17,Black,2012,Black2012,21,0.293,Larvae
14-May-12,14-May-17,Black,2012,Black2012,22,0.68,Larvae
14-May-12,14-May-17,Black,2012,Black2012,23,0.283,Larvae
14-May-12,14-May-17,Black,2012,Black2012,24,0.43,Larvae
14-May-12,14-May-17,Black,2012,Black2012,25,0.564,Larvae
14-May-12,14-May-17,Black,2012,Black2012,26,0.62,Larvae
14-May-12,14-May-17,Black,2012,Black2012,27,0.843,Larvae
14-May-12,14-May-17,Black,2012,Black2012,28,0.85,Larvae
14-May-12,14-May-17,Black,2012,Black2012,29,0.546,Larvae
14-May-12,14-May-17,Black,2012,Black2012,30,0.554,Larvae
14-May-12,14-May-17,Black,2012,Black2012,31,0.622,Larvae
14-May-12,14-May-17,Black,2012,Black2012,32,0.613,Larvae
14-May-12,14-May-17,Black,2012,Black2012,33,0.419,Larvae
14-May-12,14-May-17,Black,2012,Black2012,34,0.745,Larvae
14-May-12,14-May-17,Black,2012,Black2012,35,0.75,Larvae
14-May-12,14-May-17,Black,2012,Black2012,36,0.552,Larvae
14-May-12,14-May-17,Black,2012,Black2012,37,0.692,Larvae
14-May-12,14-May-17,Black,2012,Black2012,38,0.758,Larvae
14-May-12,14-May-17,Black,2012,Black2012,39,0.584,Larvae
14-May-12,14-May-17,Black,2012,Black2012,40,0.538,Larvae
14-May-12,14-May-17,Black,2012,Black2012,41,0.165,Larvae
14-May-12,14-May-17,Black,2012,Black2012,42,0.587,Larvae
14-May-12,14-May-17,Black,2012,Black2012,43,0.602,Larvae
14-May-12,14-May-17,Black,2012,Black2012,44,0.748,Larvae
14-May-12,14-May-17,Black,2012,Black2012,45,0.64,Larvae
14-May-12,14-May-17,Black,2012,Black2012,46,0.603,Larvae
14-May-12,14-May-17,Black,2012,Black2012,47,0.481,Larvae
14-May-12,14-May-17,Black,2012,Black2012,48,0.525,Larvae
14-May-12,14-May-17,Black,2012,Black2012,49,0.435,Larvae
21-May-12,21-May-17,Black,2012,Black2012,1,1.519,Larvae
21-May-12,21-May-17,Black,2012,Black2012,2,1.543,Larvae
21-May-12,21-May-17,Black,2012,Black2012,3,1.494,Larvae
21-May-12,21-May-17,Black,2012,Black2012,4,0.462,Larvae
21-May-12,21-May-17,Black,2012,Black2012,5,1.571,Larvae
21-May-12,21-May-17,Black,2012,Black2012,6,1.396,Larvae
21-May-12,21-May-17,Black,2012,Black2012,7,1.287,Larvae
21-May-12,21-May-17,Black,2012,Black2012,8,1.998,Larvae
21-May-12,21-May-17,Black,2012,Black2012,9,0.623,Larvae
21-May-12,21-May-17,Black,2012,Black2012,10,1.206,Larvae
21-May-12,21-May-17,Black,2012,Black2012,11,1.23,Larvae
21-May-12,21-May-17,Black,2012,Black2012,12,1.637,Larvae
21-May-12,21-May-17,Black,2012,Black2012,13,1.197,Larvae
21-May-12,21-May-17,Black,2012,Black2012,14,1.436,Larvae
21-May-12,21-May-17,Black,2012,Black2012,15,1.575,Larvae
21-May-12,21-May-17,Black,2012,Black2012,16,1.448,Larvae
21-May-12,21-May-17,Black,2012,Black2012,17,1.746,Larvae
21-May-12,21-May-17,Black,2012,Black2012,18,1.76,Larvae
21-May-12,21-May-17,Black,2012,Black2012,19,1.148,Larvae
21-May-12,21-May-17,Black,2012,Black2012,20,1.726,Larvae
21-May-12,21-May-17,Black,2012,Black2012,21,0.37,Larvae
21-May-12,21-May-17,Black,2012,Black2012,22,1.246,Larvae
