Year,Site,Date,Eggs,Winglength
2012,VV1,6/18/12,65,4.96
2012,VV1,6/18/12,65,4.96
2012,VV1,6/18/12,66,4.96
2012,VV1,6/18/12,67,4.96
2012,VV1,6/18/12,73,4.96
2012,VV1,6/18/12,77,4.96
2012,VV1,6/18/12,80,4.96
2012,VV1,6/18/12,90,4.96
2012,VV1,6/18/12,116,4.96
2012,VV1,6/18/12,66,5.04
2012,VV1,6/18/12,66,5.04
2012,VV1,6/18/12,68,5.04
2012,VV1,6/18/12,69,5.04
2012,VV1,6/18/12,76,5.04
2012,VV1,6/18/12,84,5.04
2012,VV1,6/18/12,100,5.04
2012,VV1,6/18/12,30,5.12
2012,VV1,6/18/12,41,5.12
2012,VV1,6/18/12,58,5.12
2012,VV1,6/18/12,59,5.12
2012,VV1,6/18/12,60,5.12
2012,VV1,6/18/12,62,5.12
2012,VV1,6/18/12,65,5.12
2012,VV1,6/18/12,66,5.12
2012,VV1,6/18/12,66,5.12
2012,VV1,6/18/12,68,5.12
2012,VV1,6/18/12,69,5.12
2012,VV1,6/18/12,74,5.12
2012,VV1,6/18/12,82,5.12
2012,VV1,6/18/12,83,5.12
2012,VV1,6/18/12,62,5.20
2012,VV1,6/18/12,64,5.20
2012,VV1,6/18/12,67,5.20
2012,VV1,6/18/12,73,5.20
2012,VV1,6/18/12,78,5.20
2012,VV1,6/18/12,80,5.20
2012,VV1,6/18/12,82,5.20
2012,VV1,6/18/12,82,5.20
2012,VV1,6/18/12,86,5.20
2012,VV1,6/18/12,111,5.20
2012,VV1,6/18/12,54,5.28
2012,VV1,6/18/12,63,5.28
2012,VV1,6/18/12,74,5.28
2012,VV1,6/18/12,86,5.28
2012,VV1,6/18/12,40,5.36
2012,VV1,6/18/12,60,5.36
2012,VV1,6/18/12,79,5.36
2012,VV1,6/18/12,87,5.36
2012,VV1,6/18/12,91,5.36
2012,VV1,6/18/12,72,5.44
2012,VV1,6/18/12,76,5.44
2012,VV1,6/18/12,80,5.44
2012,VV1,6/18/12,92,5.44
2012,VV1,6/18/12,101,5.44
2012,VV1,6/18/12,75,5.52
2012,VV1,6/18/12,78,5.52
2012,VV1,6/18/12,80,5.52
2012,VV1,6/18/12,64,5.60
2012,VV1,6/18/12,72,5.60
2012,VV1,6/18/12,85,5.60
2012,VV1,6/18/12,88,5.60
2012,VV1,6/18/12,91,5.60
2012,VV1,6/18/12,102,5.60
2012,VV1,6/18/12,56,
2012,VV1,6/18/12,64,
2012,VV1,6/18/12,68,
2012,VV1,6/18/12,68,
2012,VV1,6/18/12,89,
2012,VV1,6/18/12,100,
2012,Black,6/25/12,37,
2012,Black,6/25/12,40,
2012,Black,6/25/12,42,
2012,Black,6/25/12,43,
2012,Black,6/25/12,52,
2012,Black,6/25/12,59,
2012,Black,6/25/12,12,
2012,Black,6/25/12,31,
2012,East,6/25/12,40,
2012,East,6/25/12,1,
2012,East,6/25/12,19,
2012,East,6/25/12,24,
